Referencia;Descricao do Produto;Fabricante;Grupo;Qtde;Un;Custo Un;Custo;Total;
ONJ0142MX      ;HASTE CRISANTEMO POMPO X3 42CM                              ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;307;UN ;2,56;785,92;3039,3;
ONJ0169MX      ;HASTE MAGNOLIAFOLHAS 3D 50CM                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;115;UN ;9,45;1086,75;4588,5;
ONJ0143MX      ;HASTE MINI CRISANTEMO POMPO 64CM                            ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;296;UN ;4,53;1340,88;5594,4;
ONJ0144MX      ;BUQUE ROSAS DIANNA X7                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;37;UN ;13,39;495,43;1846,3;
ONJ0145MX      ;BUQUE E PRIMULAS MX 32CM                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;109;UN ;5,32;579,88;2169,1;
ONJ0146MX      ;BUQUE RANUNCULOS OUT. 32CM                                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;111;UN ;4,92;546,12;2208,9;
ONJ0147MX      ;HASTE ROSA ABERTA DIANNA 60CM                               ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;150;UN ;2,76;414;1785;
ONJ0148MX      ;FLORES ARTIFICIAL                                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;123;UN ;11,22;1380,06;4907,7;
ONJ0149        ;PLANTA ARTIFICIAL                                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;16;UN ;136,82;2189,12;11038,4;
ONJ0150        ;PLANTA ARTIFICIAL 140CM                                     ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;7;UN ;83,87;587,09;3492,3;
ONJ0151        ;PLANTA ARTIFICIAL                                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;22;UN ;69,89;1537,58;8775,8;
ONJ0152        ;ARVORE RADERMACHERA 180CM                                   ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;2;UN ;134,07;268,14;1739,8;
ONJ0153        ;PLANTA ARTIFICIAL                                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;9;UN ;90,76;816,84;5309,1;
ONJ0154        ;PLANTA ARTIFICIAL                                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;3;UN ;134,07;402,21;2696,7;
ONJ0155        ;ARBUSTO COSTELA DE ADAO C/TRONCO 110CM                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;17;UN ;55,91;950,47;6781,3;
ONJ0156        ;ARVORE COSTELA DE ADAO C/TRONCO 150CM                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;118,71;593,55;4349,5;
ONJ0126MX      ;JOGO DE  6 TACAS DE VIDRO COLOR BICO                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;43;UN ;59,82;2572,26;5155,7;
ONJ0126        ;JOGO DE 6 TACAS DE VIDRO TRANSPARENTE BICO                  ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;40;UN ;35,88;1435,2;2796;
ONJ0127MX      ;JOGO DE 6 TACAS DE VIDRO                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;60;UN ;59,82;3589,2;7194;
ONJ0127        ;JOGO DE 6 TACAS DE VIDRO TRANS                              ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;198;UN ;35,88;7104,24;13840,2;
ONJ0128        ;XICARA BOROCILICATO PAREDE DUPLA C/FLORES 250ML             ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;88;UN ;15,15;1333,2;5271,2;
ONJ0129        ;TALHER                                                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;44;UN ;21,9;963,6;3955,6;
ONJ0130        ;TALHERES GARFO DE MESA                                      ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;67;UN ;21,9;1467,3;6023,3;
ONJ0131        ;TALHERES COLHER DE SOBREMESA                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;96;UN ;17,56;1685,76;6710,4;
ONJ0132        ;TALHERES GARFO DE SOBREMESA                                 ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;71;UN ;17,56;1246,76;4962,9;
ONJ0133        ;TALHERES COLHER DE CAFE                                     ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;63;UN ;15,98;1006,74;4403,7;
ONJ0134        ;TALHERES FACA DE MESA                                       ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;65;UN ;23,48;1526,2;6298,5;
ONJ135MX       ;GARRAFA PLASTICA TERMICA                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;24;UN ;26,88;645,12;2117,61;
ONJ0157MX      ;LUGAR  AMERICANO REDONDO                                    ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1308;UN ;2,95;3858,6;18181,2;
ONJ0158MX      ;LUGAR AMERICANO RETANGULAR DAISY FLW                        ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;152;UN ;3,18;483,36;2568,8;
ONJ0159MX      ;LUGAR AMERICANO REDONDO BARRA POA                           ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;201;UN ;5,45;1095,45;4221;
ONJ0135MX      ;GARRAFA TERMICA CABO MAD. 1L                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;104;UN ;26,88;2795,52;9028,7;
ONJ0034M       ;CESTA DECORATIVA EM RATTAN M                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;5;UN ;60;300;1949,5;
ONJ0034G       ;CESTA DECORATIVA EM RATTAN G                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;1;UN ;90;90;469,9;
ONJ0031M       ;CESTA DECORATIVA EM RATTAN M                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;20;UN ;10,47;209,4;1398;
ONJ0031G       ;CESTA DECORATIVA EM RATTAN G                                ;CHINA GOODLINK TRADING CO., LTD.                                                                    ;GRUPO 1                                                     ;26;UN ;5,23;135,98;2337,4;
